utc_timestamp,load_actual_entsoe_transparency,load_forecast_entsoe_transparency
2015-01-02T20:30:00Z,52958.59,46583.95
2015-01-02T20:45:00Z,52541.76,46100.87
2015-01-02T21:00:00Z,52577.0,46532.6
2015-01-02T21:15:00Z,51839.21,46633.17
2015-01-02T21:30:00Z,51017.74,45812.16
2015-01-02T21:45:00Z,47330.83,44911.97
2015-01-02T22:00:00Z,46805.06,44705.49
2015-01-02T22:15:00Z,45857.23,44662.93
2015-01-02T22:30:00Z,44847.31,44964.31
2015-01-02T22:45:00Z,43783.66,43563.47
2015-01-02T23:00:00Z,41841.99,42775.99
2015-01-02T23:15:00Z,40758.73,41478.03
2015-01-02T23:30:00Z,39903.83,42868.99
2015-01-02T23:45:00Z,39351.48,42242.36
2015-01-03T00:00:00Z,38952.48,41624.97
2015-01-03T00:15:00Z,38335.1,41117.37
2015-01-03T00:30:00Z,38197.8,40681.44
2015-01-03T00:45:00Z,37867.96,40427.18
2015-01-03T01:00:00Z,37546.33,39980.61
2015-01-03T01:15:00Z,36981.49,39798.54
2015-01-03T01:30:00Z,36676.17,39668.05
2015-01-03T01:45:00Z,36382.24,39661.66
2015-01-03T02:00:00Z,36233.19,39693.21
2015-01-03T02:15:00Z,36037.82,39562.79
2015-01-03T02:30:00Z,35954.87,39893.71
2015-01-03T02:45:00Z,36189.17,40148.46
2015-01-03T03:00:00Z,36567.21,40023.08
2015-01-03T03:15:00Z,36392.92,39863.19
2015-01-03T03:30:00Z,36375.56,40446.62
2015-01-03T03:45:00Z,36476.73,40549.74
2015-01-03T04:00:00Z,37037.74,40246.15
2015-01-03T04:15:00Z,36640.7,39931.43
2015-01-03T04:30:00Z,36467.82,39975.45
2015-01-03T04:45:00Z,37211.49,39897.42
2015-01-03T05:00:00Z,37386.27,39902.74
2015-01-03T05:15:00Z,37499.37,39805.67
2015-01-03T05:30:00Z,38232.89,40228.68
2015-01-03T05:45:00Z,39173.91,40914.53
2015-01-03T06:00:00Z,39653.01,41665.91
2015-01-03T06:15:00Z,40332.56,42333.83
2015-01-03T06:30:00Z,41124.19,43303.62
2015-01-03T06:45:00Z,42165.41,44222.44
2015-01-03T07:00:00Z,42981.54,45406.68
2015-01-03T07:15:00Z,43588.54,46117.02
2015-01-03T07:30:00Z,44490.62,47015.94
2015-01-03T07:45:00Z,45415.15,47684.32
2015-01-03T08:00:00Z,46402.13,48695.75
2015-01-03T08:15:00Z,46832.49,49522.56
2015-01-03T08:30:00Z,47853.33,49978.37
2015-01-03T08:45:00Z,48596.61,50433.64
2015-01-03T09:00:00Z,49227.24,51225.91
2015-01-03T09:15:00Z,49645.94,51654.61
2015-01-03T09:30:00Z,49840.02,51835.11
2015-01-03T09:45:00Z,50309.27,52237.85
2015-01-03T10:00:00Z,50808.01,52610.21
2015-01-03T10:15:00Z,51496.72,52995.4
2015-01-03T10:30:00Z,52406.58,53250.66
2015-01-03T10:45:00Z,52955.01,52995.99
2015-01-03T11:00:00Z,51814.15,52893.1
2015-01-03T11:15:00Z,51710.74,52711.16
